Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
CYP3A5,ENSG00000106258.13,190.6,253.5,326.4,222.1,276.5,221,12.81,50.62,162.2,280,64.13,232.8,143.3,106.8,58.66,159.7,219.3,32.86,55.5,291.8,26.87,116.6,264.1,26.52,58.59,140.9,212.8,103.8,78.25,245.1,263.3,134.1,200.5,75.69,250.6,319.8,189.8,76.22,69.83,271.1,154.7,124.6,31.45,200.5,39.72,111.1,44.36,197.8,96.36,100.7,140.3,54.56,155.3,360.7,139.5,6.735,217.6,178.6,202.2,98.07,277.5,52.28,272.1,348.9,171.9,267.2,301.9,341.9,213.6,99.04,140.2,283.8,54.2,248.6,312.6,120.4,200.4,271.5,211.4,289.9,50.64,128.9,231.5,69.05,107,262.8,156.8,144.7,131.6,200.7,7.554,228.4,120.4,234,212.8,117.2,180.8,47.63,125.7,289,225.6,128.2,52.3,159.6,180.8,322.8,295.6,348.2,337.7,90.7,310,297.6,446.3,141.7,299.6,154.2,243.3,366.5,41.49,264.9,224.4,23.02,498.3,114.3,117.5,87.11,337,40.1,384.3,527.2,188.5,227.2,36.46,177.6,291.5,156.3,152.9,140.7,107.3,71.5,155.5,133.3,77.62,168.2,52.07,665.7,57.02,137.2,291.1,457.6,123.6,59.72,302,38.79,60.18,194.1,211.9,242.7,48.59,223.7,50.61,132.6,145.7,39.75,190.5,86.71,144.6,376.7,92.35,165.9,207.5,213.1,294,213.3,195.3,114.3,70.97,174.1,91.02,241.3,251.6,326.2,127.5,190.7,122.3,270.8,138.8,102.7,26.2,210,417.8,149.7,291.3
KB-68A7.1,ENSG00000274225.1,22.6,14.37,8.75,26.12,40.47,30.52,1.842,1.291,16.48,27.6,39.06,21.16,21.16,3.895,13.98,13.62,22.14,2.957,3.476,12.77,2.338,17.42,25.08,1.058,13.03,8.865,24.73,13.54,11.31,5.536,6.277,6.801,30.39,1.814,5.355,29.21,3.895,6.724,11.38,33.6,28.81,16.8,0.9171,28.66,5.942,4.083,13.97,10.57,13.35,12.98,5.864,5.91,14.31,15.09,25.42,2.563,26.07,9.715,25.87,26.46,13.24,0.3569,32.79,36.22,2.946,22.69,25.29,30.5,10.01,15.07,19.26,36.13,7.183,21.72,33.48,4.369,5.188,12.89,22.81,5.888,3.75,8.211,33.5,1.307,4.085,31.62,9.883,29.35,17.87,12.5,1.479,11.2,12.17,26.78,23.71,11.07,20.71,2.602,5.993,15.37,13.71,8.134,15.22,5.155,8.89,22.37,17.04,24.83,10.84,3.647,19,9.685,41.71,27.8,14.09,1.65,8.758,43.91,7.239,40.9,2.949,2.688,18.82,29.54,8.694,9.718,7.776,4.949,15.26,9.018,10.48,22.42,2.88,11.04,11.2,0.6697,7.083,14.24,18.19,3.879,5.884,44.45,1.827,13.38,6.226,6.309,11.37,4.202,58.73,31.5,18.39,6.795,10.12,1.581,3.039,6.676,31.33,19.99,5.371,4.656,2.508,7.536,10.11,1.407,3.808,11.65,2.595,10.6,8.423,32.54,5.614,5.108,13.53,1.77,13.52,0.2619,5.318,19.23,2.605,3.798,31.94,6.971,3.189,6.805,3.377,9.454,8.853,3.148,1.289,6.996,34.44,23.2,6.906
SLC2A4RG,ENSG00000125520.13,258.1,122.6,68.6,161.6,246.4,179.8,12.98,22.83,184.4,143.4,138.5,106.3,129.6,73.58,75.39,87.48,121.4,41.47,17.77,47.21,17.74,154.6,142.9,17.35,79.17,144.1,154.4,111.8,84.5,57.88,71.89,81.05,140.5,36.38,49.78,201.3,48,62.2,124.4,229.5,162,202,14.99,139,39.7,51.69,82.08,124.3,141.4,126.8,103.7,51.09,97.99,180.7,143,9.952,172.5,74.04,115.5,219.8,92.93,5.531,128.1,189.5,30.09,91.07,165.7,191.9,116.6,101.1,71.11,155.3,51.67,254.7,191.6,22.31,95.09,81.74,93.32,57.36,54.54,72.85,146.9,38.42,47.27,147.9,69.13,176.4,59.61,158.4,13.62,67,90.77,170.3,207.5,47.63,91.52,40.32,62.48,105.7,147.9,98.62,69.46,125.1,80.96,165.9,162.4,194.1,99.4,28.12,123.8,49.43,180.7,161.7,75.53,20.8,41.65,302.2,45.53,117.1,38.37,13.62,107.8,234.4,112.1,134,62.77,32.67,126.6,97.14,89.89,172.7,51.65,149.9,109.8,11.1,94.88,193.2,147.8,82.91,16.61,80.24,34.07,214.7,95.04,166.7,55.17,55.13,258.1,209.7,102,94.06,110.4,17.09,95.03,68.95,185.9,227.1,84.66,45.41,12.76,105.5,78.47,34.95,42.15,118.6,40.27,45.76,103.8,126.3,80.62,78.44,67.86,15.96,143.8,8.549,43.5,173.1,66.27,40.28,231.2,80.54,46.13,114.7,92.58,52.72,89.72,45.69,20.75,55.65,231.9,253,57.39
ZGPAT,ENSG00000197114.11,192.3,109.6,43.96,118.4,145.9,140.9,25.33,23.95,107.6,110.1,107.6,75.39,136.9,28.73,38.46,51.95,102.8,28.08,14.1,35.81,25.04,87.22,122.7,25.63,51.68,127.4,114.3,72.09,61.81,41.43,43.1,36.34,127.7,40.09,36.94,159.8,40.46,27.71,71.69,220.4,123.2,110.9,15.5,143.2,30.6,26.88,83.43,56.6,95.73,129.3,21.59,51.69,81.61,164.3,160.2,14.52,157.1,55.03,121.5,154,89.9,15.61,144.4,174.1,15.44,72.89,152.1,145.5,136.7,110.1,59.89,121.6,62.89,195.7,175,19.74,102.3,66,72.34,54.92,28.82,36.45,131.8,23.54,30.8,106.8,38.51,165.3,50.28,126.7,12.82,60.67,61.7,133.9,173.8,39.3,69.39,31.36,48.26,95.77,155.8,128.2,65.2,91.38,63.78,109,92.04,182,104.2,30.29,101.2,64.87,117.8,144.2,74.89,23.15,24.34,222,27.24,132.2,29.73,17.43,35.44,208,58.38,98.79,30.78,28.29,125.2,69.74,120.8,115.7,53.35,119.7,109.2,18.34,71.6,133.2,73.11,51.49,16.36,96.99,29.53,187.8,97.03,160.9,27.51,47.28,168.7,150.3,92.35,54.76,96.6,23.74,27.93,38.46,136.7,180.1,26.31,19.7,13.29,82.32,85.19,26.75,27.75,47.29,34.15,31.91,76.59,95.06,49.43,66,49.94,20.62,74.53,20.47,27.94,124,45.1,21.83,130.2,44.79,21.78,124.7,80.7,39.13,113.4,25.91,27.44,41.98,160.3,206.7,34.27
ZNF385B,ENSG00000144331.18,7.876,8.083,3.173,8.007,11.08,15.53,0.5004,0.5902,7.982,12.63,3.718,5.97,7.569,2.983,5.828,4.134,13.81,4.124,2.569,1.886,0.7421,3.505,20.37,0.6418,5.608,8.453,10.19,3.24,4.521,3.561,4.577,3.973,12.55,0.6778,0.7204,15.29,1.132,3.281,3.79,8.939,10.71,8.029,0.6804,9.965,2.753,3.726,6.057,4.283,4.556,8.215,3.801,1.924,6.42,10.81,10.21,0.7631,7.274,6.61,8.223,10.76,5.884,1.424,10.6,8.248,3.33,4.723,9.356,15.64,9.141,6.739,3.128,14.1,3.511,12.58,13.6,3.576,6.756,5.47,8.688,5.813,2.592,4.43,14.08,1.881,2.374,7.728,4.126,9.048,4.409,6.876,1.104,2.801,6.296,10.79,9.693,6.552,5.686,1.275,3.203,8.957,7.944,3.895,4.333,7.048,3.578,10.64,5.002,8.847,5.64,1.474,6.443,8.758,12.81,8.311,6.165,2.7,2.887,17.54,2.889,8.175,2.268,2.142,3.513,12.18,3.935,4.35,4.912,2.255,8.481,5.902,5.111,5.725,1.038,11.55,6.978,0.347,5.676,5.366,4.799,2.816,1.477,8.472,2.612,11.56,4.622,9.494,3.383,2.832,9.868,14.25,4.785,3.893,6.239,2.02,3.382,2.504,9.854,13.29,2.973,4.672,0.6252,4.94,3.64,1.923,4.156,3.857,3.507,5.777,3.723,6.563,3.907,1.833,4.048,1.821,7.935,0.4288,4.538,9.087,3.249,2.61,13.11,3.326,3.243,6.106,3.532,4.258,8.945,3.603,0.6254,3.047,14.74,8.655,2.974
ZFP1,ENSG00000184517.11,7.103,7.816,5.049,5.025,13.99,17.49,2.384,0.7737,10.1,7.706,6.173,9.046,8.557,4.639,4.164,5.231,7.616,2.803,1.285,4.721,1.472,6.789,15.46,2.979,4.005,9.735,8.435,7.017,3.961,3.959,3.938,4.32,11.87,1.184,0.8707,13.23,1.224,3.494,5.613,11.69,14.64,7.581,1.33,9.458,2.863,2.778,6.632,3.12,4.617,5.739,3.552,2.963,9.037,23.81,9.341,1.732,10.88,10.06,9.927,11.87,8.778,1.908,11.67,10.58,1.766,8.866,11.92,16.83,17.96,5.287,17.57,10.02,5.713,6.388,16.26,3.589,2.97,7.924,9.778,6.601,3.567,6.305,15.87,3.191,2.138,8.707,4.679,9.516,5.944,7.816,0.9711,4.664,5.099,9.545,6.228,5.803,8.034,2.49,3.796,6.614,4.671,1.516,8.587,8.548,4.244,6.991,5.756,11.27,7.176,2.618,9.032,7.905,10.24,11.52,6.576,1.482,3.95,15.06,4.65,14.27,3.942,3.083,5.441,9.91,4.781,3.406,3.626,3.783,5.3,6.34,6.122,5.732,3.182,11.16,12.29,0.5577,4,8.691,6.481,5.213,3.175,12.44,3.171,9.479,6.845,12.22,5.4,3.197,12.47,13.68,6.594,4.709,2.324,2.252,3.01,2.603,10.14,7.723,4.226,7.155,1.344,8.757,7.411,2.45,4.162,3.041,1.735,4.544,9.006,8.064,4.715,2.348,6.562,1.271,6.13,1.379,4.377,14.79,4.78,2.046,12.06,3.809,4.547,11.91,6.661,8.043,9.952,2.771,3.451,5.151,15.81,10.32,4.68
HNF4A-AS1,ENSG00000229005.2,23.31,22.54,16.77,18.41,23.55,18.32,0.5202,0.3156,19.67,12.83,8.845,11.06,17.22,4.27,4.349,8.942,12.11,1.74,3.506,5.918,0.2428,6.214,23.06,1.495,6.203,29.92,13.31,14.41,9.33,13.54,19.44,6.599,8.434,0.3462,0.5402,21.88,1.997,14.52,15.37,28.09,17.22,13.01,0.1524,13.78,4.609,6.948,10.5,8.078,10.58,17.99,1.775,16.75,9.429,15.37,22.45,0.2962,18.06,18.63,28.85,26.56,16.26,1.176,27.31,21.17,1.229,6.624,19.31,37.25,43.76,13.88,9.795,22.11,10.38,27.53,29.05,3.233,5.883,7.204,14.97,32.15,5.149,9.862,17.5,3.13,4.082,24,5.628,29.6,6.14,14.63,0.1219,8.173,10.85,15.27,16.21,4.366,7.911,0.9367,10.98,13.45,19.85,4.899,19.03,27.94,6.373,13.12,7.983,17.91,28.76,2.992,18.69,11.09,13.4,22.43,11.6,0.2558,5.939,31.9,4.864,14.62,9.674,0.7834,7.282,22.4,4.177,6.122,20.74,4.589,13.11,20.93,16.75,8.542,1.289,41.09,26.67,0.3869,14.06,16.79,5.935,10.88,2.416,15.17,8.406,10.95,18.03,52.47,4.193,11.87,37.38,21.84,12.65,6.385,5.098,2.152,1.515,12.72,14.51,20.55,3.228,15.64,0.2624,13.26,12.1,1.722,8.515,2.65,4.058,17.15,18.83,15.36,16.19,4.215,2.825,0.08065,11.22,0.3698,12.87,21.87,11.65,5.387,10.9,6.315,12.26,24.93,15.3,14.42,37.22,3.3,1.241,9.484,24.1,32.11,22.15
ARID3C,ENSG00000205143.2,6.904,10.6,3.848,5.235,8.252,14.02,0.1345,0.3853,5.029,5.838,4.833,2.644,7.776,0.6899,1.559,2.575,6.541,0.4248,0.7303,1.741,0.4707,3.189,6.649,1.057,3.197,11.38,9.224,3.674,3.597,4.386,2.199,4.241,5.451,0.2685,0.7599,8.194,1.412,2.07,2.196,16,6.427,8.56,0.3693,7.614,0.5187,1.983,4.775,1.123,4.838,4.958,0.4498,2.193,2.768,11.92,4.414,0.02127,6.044,4.434,7.899,8.975,6.124,0.1448,8.609,6.953,1.192,2.344,4.373,11.56,11.93,3.291,2.872,5.497,4.593,8.513,13.04,0.6518,6.553,2.54,3.723,4.094,1.826,2.163,11.05,0.2334,0.8091,7.758,1.33,8.925,3.593,6.336,0.1125,2.472,1.223,6.465,6.489,1.881,4.341,2.003,1.193,7.115,4.829,2.375,5.053,4.846,1.619,5.384,2.754,7.97,10.22,0.4035,4.805,0.8703,5.708,12.19,2.076,0.4042,0.7718,16.82,1.382,2.971,2.148,0.37,1.172,7.116,2.373,3.375,2.487,1.506,4.252,3.645,1.723,2.697,0.4074,12.72,5.071,0.09725,3.554,5.148,2.602,4.268,0.2811,3.335,1.869,5.905,6.914,9.812,2.02,2.356,9.387,7.477,3.3,2.295,3.906,0.3864,1.931,3.533,7.098,7.742,1.799,1.508,0.4027,4.036,3.675,1.284,2.375,4.584,1.748,1.613,5.333,3.256,2.501,1.865,2.09,0.6255,3.701,0.239,1.092,9.184,2.061,0.9038,5.474,1.026,1.484,6.954,3.179,2.132,7.898,0.6735,0.3209,4.638,10.59,10.04,3.018
TEAD4,ENSG00000197905.8,0.2824,1.567,1.899,0.8742,0.5038,0.3605,36.15,9.979,0.8883,0.5257,0.09343,0.4136,0.6608,1.73,1.083,3.385,0.9806,4.237,4.379,0.9502,10.29,0.4629,0.4689,28.91,1.396,1.066,0.8676,0.5705,0.7622,2.31,2.617,0.927,0.8999,9.088,2.27,1.32,3.841,0.9087,0.6118,1.199,0.2753,0.2777,14.22,0.412,0.7271,8.264,0.457,1.338,1.69,0.6929,1.844,4.315,0.6937,0.567,0.5089,8.151,0.6951,0.664,0.6145,0.4762,1.474,13.68,1.238,1.077,3.967,0.5793,0.5845,0.575,0.9849,0.7947,1.5,0.2995,2.832,0.5001,0.6287,5.358,2.629,0.482,0.9933,0.7957,8.303,0.3239,0.3994,4.413,4.501,0.7137,1.975,0.4578,2.969,0.9683,4.026,2.498,0.4357,0.1125,0.2812,0.2671,0.5967,8.113,1.507,0.6422,0.4172,2.526,0.8774,1.012,4.174,0.7032,0.2349,0.4995,0.7022,11.14,0.4973,5.106,0.9226,0.5881,1.263,5.933,1.733,0.7163,2.201,0.2112,2.313,4.995,1.353,0.2063,1.918,0.2731,1.52,3.273,0.3475,2.612,2.782,0.3886,21.02,1.585,0.4883,8.844,0.7875,0.8405,1.003,5.693,10.43,0.1479,6.552,3.459,1.023,0.9273,2.017,2.297,0.3472,0.4763,0.906,0.9099,1.532,6.992,3.429,1.94,0.2861,0.5969,1.895,1.65,10.97,1.21,4.564,5.318,2.087,0.5248,1.576,2.433,3.176,0.1808,0.9851,0.7163,1.194,15.7,0.7036,5.623,3.51,0.5144,5.587,1.601,0.2938,0.598,1.078,1.076,1.755,0.8968,0.7007,1.659,15.36,1.65,0.8047,0.5261,1.062
NR1I3,ENSG00000143257.11,121.5,135.6,59.02,140.6,221.5,160.6,9.833,9.84,147.7,136.1,116.1,151.5,146.3,96.35,97.08,117.8,125.3,37.53,9.803,79.2,27.95,88.44,191.5,9.072,127.9,136.7,152,124,78.07,105.1,102.3,75.75,114.1,13.71,27.84,191.6,58.34,77.91,98.47,199.4,113.9,127.2,10.93,127.5,58.62,44.89,99.18,82.75,99.3,90.58,53.92,64.69,119.3,209.7,126.3,22.9,203.2,124.4,144.2,123.1,115.5,2.5,180.5,177.3,13.6,130.2,170.1,174.4,200.6,137,186.5,175.6,115.2,201.1,176,31.16,103.8,154.1,95.23,96.04,36.44,81.06,160.9,57.88,51.31,177.5,93.79,163.7,79.66,157.4,4.502,84.1,58.74,93.3,171.2,37.14,94.63,58.99,82.71,148.5,108.9,58.36,88.66,104.4,113.2,123.1,80.46,142,94.07,57.52,123,85.51,185.3,106.8,124.9,22.26,84.07,261.9,70.66,132.1,29.56,29.59,99.01,134.6,73.58,61.12,44.66,74.11,85.06,73.6,93.16,73.3,8.454,107.9,169.2,11.54,93.56,132.2,112.7,91.67,17.82,141.3,69.57,114.1,128.1,195.3,89.44,80.93,225.4,244.4,130,110.7,94.79,14.65,42.23,74.6,139.5,159.1,44.37,79.19,13.9,128.3,121.8,38.31,74.67,39.44,107.3,52.25,140.5,132.6,81.05,71.28,108.4,19.1,125.8,14.61,37.27,158.5,30.96,75.07,144.9,101.2,49.69,135.2,111.1,88.64,129.1,45.49,41.67,76.31,197,197.8,82.5
NFIA,ENSG00000162599.15,14.29,10.07,8.617,8.09,14.25,16.67,2.906,1.885,14.61,13.72,8.864,10.35,9.897,6.302,8.1,9.887,9.623,5.517,4.961,5.087,3.612,7.559,13.32,7.586,6.807,12.65,12.81,8.193,10.23,8.662,5.91,8.779,13.45,2.152,5.291,14.54,4.8,9.879,7.008,15.39,14.7,9.36,2.723,8.729,5.197,10.68,8.438,8.013,10.12,12.64,7.113,4.929,9.851,13.4,14.42,3.205,11.78,8.755,13.12,13.71,9.869,4.999,11.88,11.18,6.989,7.035,12.42,13.16,13.85,9.197,6.7,8.567,6.957,16.96,15.68,8.547,11.67,8.825,12.52,16.12,5.862,9.281,12.88,3.844,7.008,11.93,5.622,11.14,8.46,6.953,3.054,6.696,7.643,9.643,13.8,7.437,7.638,3.025,6.246,7.643,10.54,10.16,8.64,10.23,7.205,14.54,10.88,10.59,11.74,3.496,11.05,9.836,10.79,10.15,9.135,4.678,7.325,16.31,5.091,15.1,6.797,2.846,3.865,14.92,6.536,10.54,10.15,3.897,14.72,10.07,8.226,10.4,7.322,16.56,10.69,1.982,9.068,9.226,13.42,9.971,7.425,12.59,6.242,11.23,8.429,16.87,6.338,8.459,12.09,13.46,8.144,8.779,12.63,5.42,9.212,8.756,11.58,15.48,7.463,10.73,2.699,9.939,12.23,5.232,7.549,6.374,4.948,7.979,9.16,9.452,8.354,6.985,5.519,3.582,8.071,2.102,9.531,15.3,9.718,7.465,11.26,9.242,9.827,10.87,9.496,8.28,11.68,7.738,4.682,7.841,15.99,10.48,8.511
GATAD2A,ENSG00000167491.17,7.175,8.581,15.17,6.972,5.243,8.576,33.63,21.49,11.61,8.679,7.161,7.837,8.099,15.39,15.39,12.39,8.65,33.49,14.97,13.89,24.53,5.606,6.595,27.6,10.85,8,8.105,11.66,12.98,12.76,17.27,10.42,9.911,39.9,20.71,8.289,26.36,13.13,8.573,11.18,6.463,5.835,23.63,8.358,10.58,24.41,6.138,13.42,10.11,8.472,17.26,13.36,12.74,9.229,8.823,21.47,7.793,9.688,7.473,5.389,10.87,24.95,9.839,7.451,22.8,8.132,6.729,9.392,13.44,7.897,11.73,5.088,12.01,10.13,8.395,15.35,26.6,12.03,9.624,14.12,20.34,11.67,5.352,22.38,21.25,8.742,14.98,13.33,14.06,9.476,22.28,13.3,11.3,4.994,6.65,2.786,6.205,16.35,11.87,10.11,8.802,12.59,9.882,10.27,10.73,9.851,7.245,8.06,9.676,17.74,7.737,14.6,6.457,5.517,11.18,23.49,10.73,7.487,12.84,9.577,18.59,23.87,6.336,9.414,10.92,4.004,13.9,11.1,7.33,16.56,10.63,5.048,40.31,10.73,10.93,19.75,12.25,10.07,8.404,16.09,34.52,12.26,24.61,10.44,8.818,16.25,18.37,17.7,7.364,7.17,12.32,11.75,16.47,28.1,19.99,14.52,5.519,7.929,15.1,9.197,26.79,11.78,16.57,20.99,10.26,4.649,10.45,14.1,11.7,9.246,9.787,17.02,22.91,33.81,9.013,27.53,16.22,11.16,17.71,19.27,6.238,15.04,12.69,10.3,12.23,13.79,9.387,16.33,22.9,9.791,9.73,6.67,11.43
